,query_id,device_classification_name,approval_number,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product
801,K173633,"indicator, biological sterilization process",k173633,"verify all-in-one steam reusable test pack, verify all-in-one steam reusable test pack with step counter, verify all-in-one steam reusable test pack with tracker tag",jennifer  nalepka,jennifer  nalepka,jennifer  nalepka,880.2800,frc,11/24/2017,02/28/2018,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173633.pdf,traditional,no,no
802,K221477,"cuff, tracheal tube, inflatable",k221477,ag100s,yoel  bergman,yoel  bergman,bosmat  friedman,868.5750,bsk,05/23/2022,12/29/2022,substantially equivalent     (sese),anesthesiology,anesthesiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221477.pdf,traditional,no,no
803,K222150,"x-ray, tomography, computed, dental",k222150,prexion3d expedition,hiroaki  takahashi,hiroaki  takahashi,kenji  tanaka,892.1750,oas,07/20/2022,01/12/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222150.pdf,traditional,no,no
804,K222527,polymer patient examination glove,k222527,nitrile patient examination glove,zhou  ziyu,zhou  ziyu,boyle  wang,880.6250,lza,08/22/2022,12/14/2022,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222527.pdf,traditional,no,no
805,K210904,"resin, root canal filling",k210904,metapaste plus,suk  song oh,suk  song oh,april  lee,872.3820,kif,03/26/2021,06/30/2021,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210904.pdf,traditional,no,no
806,K181134,"saliva, artificial",k181134,"g•u•m hydral dry mouth oral gel, g•u•m hydral dry mouth oral rinse, g•u•m hydral dry mouth oral spray",liz  bastian,liz  bastian,liz  bastian,,lfd,04/30/2018,07/13/2018,substantially equivalent     (sese),,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181134.pdf,traditional,no,no
807,K172167,"catheter, thrombus retriever",k172167,zenith flex system,marc  litzenberg,marc  litzenberg,marianne  grunwaldt,870.1250,nry,07/18/2017,04/19/2018,substantially equivalent     (sese),cardiovascular,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k172167.pdf,traditional,no,no
808,K220141,"system, planning, radiation therapy treatment",k220141,raystation 11b,david  hedfors,david  hedfors,david  hedfors,892.5050,muj,01/18/2022,04/15/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220141.pdf,traditional,no,no
809,K183530,cytochrome p450 2c9 (cyp450 2c9) drug metabolizing enzyme genotyping system,k183530,trudiagnosis system,charles  daitch,charles  daitch,rita  king,862.3360,odw,12/19/2018,05/24/2019,substantially equivalent     (sese),toxicology,toxicology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183530.pdf,traditional,no,no
810,K223272,"system, ablation, microwave and accessories",k223272,surblate ablation system,jim  elliott,jim  elliott,prithul  bom,878.4400,ney,10/24/2022,02/28/2023,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223272.pdf,traditional,yes,no
811,K203228,"screw, fixation, bone",k203228,dart-fire edge cannulated screw system,michael  mullins,michael  mullins,michael  mullins,888.3040,hwc,11/02/2020,05/11/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203228.pdf,traditional,no,no
812,K192487,"sterilization wrap containers, trays, cassettes & other accessories",k192487,ez-trax containment device,joseph  azary,joseph  azary,joseph  azary,880.6850,kct,09/11/2019,12/23/2019,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192487.pdf,traditional,no,no
813,K232070,polymer patient examination glove,k232070,"biodegradable nitrile examination gloves tested for use with chemotherapy drugs and fentanyl citrate (black, green)",zhu  chunyan,zhu  chunyan,zhu  chunyan,880.6250,lza,07/12/2023,10/11/2023,substantially equivalent     (sese),general hospital,general hospital,,traditional,no,no
814,K222106,optical neurosurgical nerve locator,k222106,waypoint gps,tiffini  wittwer,tiffini  wittwer,tiffini  wittwer,874.1820,qwp,07/18/2022,05/12/2023,substantially equivalent     (sese),ear nose & throat,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222106.pdf,traditional,no,no
815,K191484,"electrosurgical, cutting & coagulation & accessories",k191484,renuvion/j-plasma precise handpiece,topaz  kirlew,topaz  kirlew,topaz  kirlew,878.4400,gei,06/04/2019,07/30/2019,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k191484.pdf,traditional,no,no
816,K230758,"system, nuclear magnetic resonance imaging",k230758,umr 570,xin  gao,xin  gao,xin  gao,892.1000,lnh,03/20/2023,05/18/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230758.pdf,traditional,no,no
817,K212522,"system, peritoneal, automatic delivery",k212522,lilliput apd system,denise  oppermann,denise  oppermann,denise  oppermann,876.5630,fkx,08/11/2021,04/15/2022,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212522.pdf,traditional,no,no
818,K222078,"suture, nonabsorbable, synthetic, polyethylene",k222078,arthrex softstitch,kelsey  roberts,kelsey  roberts,kelsey  roberts,878.5000,gat,07/14/2022,09/14/2022,substantially equivalent     (sese),general & plastic surgery,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222078.pdf,traditional,no,no
819,K173164,"system, water purification, general medical use",k173164,ecolab pou water filter,jennifer  willner,jennifer  willner,jennifer  willner,876.5665,nhv,09/29/2017,06/29/2018,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173164.pdf,traditional,no,no
820,K212391,"plate, cranioplasty, preformed, alterable",k212391,mci-neuro fixation system,carlos  lacerda,carlos  lacerda,graziela  brum,882.5320,gwo,08/02/2021,10/21/2022,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212391.pdf,traditional,no,no
821,K171556,orthopedic stereotaxic instrument,k171556,k2m navigation instruments,nancy  giezen,nancy  giezen,nancy  giezen,882.4560,olo,05/30/2017,01/16/2018,substantially equivalent     (sese),neurology,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k171556.pdf,traditional,no,no
822,K202257,powered laser surgical instrument,k202257,dermatological diode laser systems,karen  liu,karen  liu,ray  wang,878.4810,gex,08/10/2020,04/23/2021,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202257.pdf,traditional,no,no
823,K213425,"powder, porcelain",k213425,bruxzir esthetic,so hyun park,so hyun park,so hyun park,872.6660,eih,10/21/2021,11/17/2021,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213425.pdf,special,no,no
824,K202823,negative pressure wound therapy powered suction pump,k202823,innomed npwt silicone foam dressing,chloie  zsang,chloie  zsang,claudia  zsang,878.4780,omp,09/24/2020,12/15/2021,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202823.pdf,traditional,no,no
825,K173574,"system, image processing, radiological",k173574,denseemammo,stephane  ragusa,stephane  ragusa,valérie  hélin,892.2050,llz,11/20/2017,06/26/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173574.pdf,traditional,no,no
826,K200584,"unit, phacofragmentation",k200584,xport 304 (micor) system lens fragmentation system,gary  mocnik,gary  mocnik,gary  mocnik,886.4670,hqc,03/06/2020,07/31/2020,substantially equivalent     (sese),ophthalmic,ophthalmic,,traditional,no,no
827,K222632,"prosthesis, hip, hemi-, femoral, metal",k222632,"uhr bipolar implants, restoration gap ii implants",margaret  klippel,margaret  klippel,margaret  klippel,888.3360,kwl,08/31/2022,10/21/2022,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222632.pdf,traditional,no,no
828,K172044,"stents, drains and dilators for the biliary ducts",k172044,"cotton-huibregtse stent, cotton-leung biliary stent, cotton-leung sof-flex biliary stent, soehendra tannenbaum biliary stent, zimmon biliary stent, guiding catheter, pushing catheter, fusion pushing catheter, stent introducer set, fusion oasis one action sent introduction system, zimmon biliary ste",laura  graham,laura  graham,jane  kennedy,876.5010,fge,07/06/2017,02/27/2018,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k172044.pdf,traditional,no,no
829,K211718,"appliance, fixation, spinal intervertebral body",k211718,venus cervical plate system,ozgen  ozfidan,ozgen  ozfidan,ozgen  ozfidan,888.3060,kwq,06/04/2021,06/28/2022,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211718.pdf,traditional,no,no
830,K221946,light based over the counter wrinkle reduction,k221946,led light therapy mask (model: mk66r-b),alain  dijkstra,alain  dijkstra,alain  dijkstra,878.4810,ohs,07/05/2022,11/22/2022,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221946.pdf,traditional,no,no
831,K220482,"abutment, implant, dental, endosseous",k220482,sherlock,gregg  gellman,gregg  gellman,chris  brown,872.3630,nha,02/18/2022,06/21/2022,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220482.pdf,traditional,no,no
832,K221698,"self-fitting air-conduction hearing aid, over the counter",k221698,"eargo 5 , eargo 6",monica  barrett,monica  barrett,monica  barrett,874.3325,quh,06/13/2022,12/21/2022,substantially equivalent     (sese),ear nose & throat,ear nose & throat,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221698.pdf,traditional,no,no
833,K181078,"lubricant, personal",k181078,the sex gel,randi christiansen stanley,randi christiansen stanley,louie  goryoka,884.5300,nuc,04/24/2018,09/10/2018,substantially equivalent     (sese),obstetrics/gynecology,obstetrics/gynecology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181078.pdf,traditional,no,no
834,K200450,"system, imaging, pulsed doppler, ultrasonic",k200450,x-cube 70,boyeon  cho,boyeon  cho,boyeon  cho,892.1550,iyn,02/24/2020,07/10/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200450.pdf,traditional,no,no
835,K180140,powered laser surgical instrument,k180140,proflex laser fibers,stephen e griffin,stephen e griffin,stephen e griffin,878.4810,gex,01/18/2018,04/20/2018,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180140.pdf,traditional,no,no
836,K182960,"stimulator, nerve, transcutaneous, for pain relief",k182960,reliefband,barbara  whitman,barbara  whitman,barbara  whitman,882.5890,gzj,10/25/2018,06/21/2019,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k182960.pdf,special,no,no
837,K173636,"system, image processing, radiological",k173636,velocity,peter j. coronado,peter j. coronado,peter j. coronado,892.2050,llz,11/24/2017,02/15/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173636.pdf,traditional,no,no
838,K180886,manual antimicrobial susceptibility test systems,k180886,"liofilchem mic test strip (mts), delafloxacin 0.002 - 32 ug/ml",fabio  brocco,fabio  brocco,laura m. koeth,866.1640,jwy,04/04/2018,05/18/2018,substantially equivalent     (sese),microbiology,microbiology,,traditional,no,no
839,K202358,"mask, surgical",k202358,protective face mask for medical use,tao  jingfeng,tao  jingfeng,shelley  li,878.4040,fxx,08/19/2020,01/29/2021,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202358.pdf,traditional,no,no
840,K183077,"shoulder prosthesis, reverse configuration",k183077,delta xtend reverse shoulder system,yayoi  fujimaki,yayoi  fujimaki,yayoi  fujimaki,888.3660,phx,11/05/2018,05/17/2019,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183077.pdf,traditional,no,no
841,K202213,"system, x-ray, tomography, computed",k202213,syngo.ct neuro perfusion,veronica  padharia,veronica  padharia,veronica  padharia,892.1750,jak,08/06/2020,10/11/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202213.pdf,traditional,no,no
842,K201755,"intervertebral fusion device with bone graft, lumbar",k201755,"waveform l interbody system, waveform to interbody system, waveform ta interbody system",aly  alvarez,aly  alvarez,aly  alvarez,888.3080,max,06/29/2020,12/15/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k201755.pdf,traditional,no,no
843,K212717,"gown, isolation, surgical",k212717,paneffort aami level 3 isolation gown,harry  harry,harry  harry,shilpa  gampa,878.4040,fyc,08/27/2021,11/30/2022,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k212717.pdf,traditional,no,no
844,K203666,vinyl patient examination glove,k203666,vinyl examination gloves(yellow),xiaomeng  xiaomeng li,xiaomeng  xiaomeng li,boyle  wang,880.6250,lyz,12/16/2020,03/12/2021,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203666.pdf,traditional,no,no
845,K223522,"thermometer, electronic, clinical",k223522,"nc° thermometer (gen 3), model number: nctg3",sunny  sun,sunny  sun,megan  callanan,880.2910,fll,11/23/2022,06/20/2023,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223522.pdf,traditional,no,no
846,K181460,"system, image processing, radiological",k181460,onepacs system,justin  falk,justin  falk,justin  falk,892.2050,llz,06/04/2018,10/11/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181460.pdf,traditional,no,no
847,K211606,thoracolumbosacral pedicle screw system,k211606,mariner deformity system,jesse  albright,jesse  albright,jesse  albright,888.3070,nkb,05/25/2021,06/23/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211606.pdf,special,no,no
848,K190722,"staple, fixation, bone",k190722,trimax implant system,chad  hollis,chad  hollis,theresa  leister,888.3030,jdr,03/20/2019,08/16/2019,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190722.pdf,traditional,no,no
849,K210667,sacroiliac joint fixation,k210667,firebird si fusion system,jacki  koch,jacki  koch,jacki  koch,888.3040,our,03/05/2021,03/25/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210667.pdf,special,no,no
850,K220627,interventional fluoroscopic x-ray system,k220627,surgivisio device,mathilde  saulpic,mathilde  saulpic,mathilde  saulpic,892.1650,owb,03/04/2022,03/18/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220627.pdf,special,no,no
851,K181080,"system, image processing, radiological",k181080,mckesson cardiology,nadia  marchant,nadia  marchant,paul  sumner,892.2050,llz,04/24/2018,05/24/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181080.pdf,traditional,no,no
852,K190494,"incubator, neonatal",k190494,infant incubator,lin  dingyu,lin  dingyu,lin  dingyu,880.5400,fmz,02/28/2019,11/25/2019,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190494.pdf,traditional,no,no
853,K232233,"aligner, sequential",k232233,invisalign system with mandibular advancement featuring occlusal blocks,john  ray,john  ray,john  ray,872.5470,nxc,07/27/2023,09/26/2023,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k232233.pdf,traditional,no,no
854,K200074,interventional fluoroscopic x-ray system,k200074,o-arm o2 imaging system,dean  honkonen,dean  honkonen,dean  honkonen,892.1650,owb,01/14/2020,04/24/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k200074.pdf,traditional,no,no
855,K201032,"thermometer, electronic, clinical",k201032,phoenix digital thermometer,ramshankar  ghosh,ramshankar  ghosh,michael  stuart,880.2910,fll,04/20/2020,10/29/2021,substantially equivalent     (sese),general hospital,general hospital,,traditional,no,no
856,K211519,"tampon, menstrual, unscented",k211519,every cycle reusable tampon applicator,jessica  samson,jessica  samson,gabriela  mccoole,884.5470,heb,05/17/2021,08/13/2021,substantially equivalent     (sese),obstetrics/gynecology,obstetrics/gynecology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211519.pdf,traditional,no,no
857,K220970,"electrosurgical, cutting & coagulation & accessories",k220970,renuvion apr handpiece,priscilla  herpai,priscilla  herpai,priscilla  herpai,878.4400,gei,04/04/2022,07/15/2022,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220970.pdf,traditional,no,no
858,K211996,"screw, fixation, bone",k211996,nexta peek hammertoe correction system,elise  fox,elise  fox,elise  fox,888.3040,hwc,06/28/2021,09/23/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211996.pdf,traditional,no,no
859,K170776,"implant, endosseous, root-form",k170776,dti-1 sla implant system,fatih  ormeci,fatih  ormeci,fatih  ormeci,872.3640,dze,03/14/2017,04/10/2018,substantially equivalent     (sese),dental,dental,,traditional,no,no
860,K173828,"system, x-ray, stationary",k173828,gu60a & gu60a-65,noh  jaesang,noh  jaesang,noh  jaesang,892.1680,kpr,12/18/2017,01/12/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173828.pdf,traditional,no,no
861,K221052,"self-fitting air-conduction hearing aid, over the counter",k221052,self-fitting hearing aids,yuanxia  mao,yuanxia  mao,reanny  wang,874.3325,quh,04/11/2022,09/25/2023,substantially equivalent     (sese),ear nose & throat,ear nose & throat,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221052.pdf,traditional,no,no
862,K221877,polymer patient examination glove,k221877,"powder-free nitrile examination glove, non-sterile",yee  kam lin,yee  kam lin,prithul  bom,880.6250,lza,06/28/2022,07/23/2022,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221877.pdf,traditional,yes,no
863,K211557,"computer, diagnostic, programmable",k211557,endopatx,moti  mikles,moti  mikles,jonathan  kahan,870.1425,dqk,05/19/2021,12/29/2022,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211557.pdf,traditional,no,no
864,K223033,"electrosurgical, cutting & coagulation & accessories",k223033,tixel® 2 system,omri  findler,omri  findler,janice m. hogan,878.4400,gei,09/29/2022,06/21/2023,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223033.pdf,traditional,no,no
865,K230161,"fluorescence polarization immunoassay, diphenylhydantoin (free)",k230161,online tdm phenytoin - free phenytoin application,dr. leslie  patterson,dr. leslie  patterson,dr. leslie  patterson,862.3350,moj,01/20/2023,03/30/2023,substantially equivalent     (sese),toxicology,clinical chemistry,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230161.pdf,traditional,no,no
866,K193660,"screw, fixation, bone",k193660,ossiofiber™ compression screws,taly  lindner,taly  lindner,david  mcgurl,888.3040,hwc,12/30/2019,07/30/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k193660.pdf,traditional,no,no
867,K213353,"analyzer, medical image",k213353,aorta-cad,robert  lindsey,robert  lindsey,robert  lindsey,892.2070,myn,10/08/2021,09/20/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213353.pdf,traditional,no,no
868,K210381,"set, administration, intravascular",k210381,i.v. administration set,jin  zhang,jin  zhang,diana  hong,880.5440,fpa,02/09/2021,08/14/2021,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210381.pdf,traditional,no,no
869,K180826,tissue expander and accessories,k180826,natrelle 133 plus microcell tissue expander,melissa  pathmajeyan,melissa  pathmajeyan,melissa  pathmajeyan,,lcj,03/30/2018,12/21/2018,substantially equivalent     (sese),,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180826.pdf,traditional,no,no
870,K220897,neurological stereotaxic instrument,k220897,disposable brain biopsy needle 2.0,christian g. h. quass,christian g. h. quass,christian g. h. quass,882.4560,haw,03/28/2022,08/17/2022,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220897.pdf,traditional,no,no
871,K210851,"colonoscope and accessories, flexible/rigid",k210851,dilumen endolumenal interventional platform (dilumen),dennis  daniels,dennis  daniels,john j. smith,876.1500,fdf,03/22/2021,04/21/2021,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210851.pdf,special,no,no
872,K222024,"ventilator, continuous, facility use",k222024,"evita v800, evita v600",holger  nadler,holger  nadler,holger  nadler,868.5895,cbk,07/11/2022,05/16/2023,substantially equivalent     (sese),anesthesiology,anesthesiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222024.pdf,traditional,no,no
873,K202924,"prosthesis, knee, patellofemorotibial, semi-constrained, cemented, polymer/metal/polymer",k202924,linksymphoknee system,stefanie  fuchs,stefanie  fuchs,terry  powell,888.3560,jwh,09/29/2020,05/13/2021,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202924.pdf,traditional,no,no
874,K210770,"system, measurement, blood-pressure, non-invasive",k210770,"arm blood pressure monitor, wireless blood pressure monitor",liu  yi,liu  yi,liu  yi,870.1130,dxn,03/15/2021,07/29/2021,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210770.pdf,abbreviated,no,no
875,K220924,"enzyme linked immunosorbent assay, herpes simplex virus, hsv-2",k220924,elecsys hsv-2 igg (08948887160),cynthia  aker,cynthia  aker,cynthia  aker,866.3305,myf,03/31/2022,10/12/2022,substantially equivalent     (sese),microbiology,microbiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220924.pdf,traditional,no,no
876,K181502,"computer, diagnostic, programmable",k181502,"zio at ecg monitoring system, zeus system",rich  laguna,rich  laguna,rich  laguna,870.1425,dqk,06/07/2018,08/29/2018,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181502.pdf,traditional,no,no
877,K203684,neurosurgical nerve locator,k203684,neurosign v4 intraoperative nerve monitor,rosie  hunt,rosie  hunt,tom  campbell,874.1820,pdq,12/17/2020,03/17/2021,substantially equivalent     (sese),ear nose & throat,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203684.pdf,traditional,no,no
878,K181362,"prosthesis, elbow, constrained, cemented",k181362,tema elbow system,roberto  gabetta,roberto  gabetta,stephen  peoples,888.3150,jdc,05/23/2018,02/16/2019,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181362.pdf,traditional,no,no
879,K171883,"counter, urine particle",k171883,sysmex  uf-5000 fully automated urine particle analyzer,sharita  brooks,sharita  brooks,sharita  brooks,864.5200,lkm,06/23/2017,04/23/2018,substantially equivalent     (sese),hematology,hematology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k171883.pdf,traditional,no,no
880,K231978,"test, cannabinoid, over the counter",k231978,biosieve™ marijuana test panel 50; biosieve™ marijuana test strip 50; biosieve™ dx marijuana test strip 20; biosieve™ dx marijuana test strip 50; biosieve™ dx marijuana test panel 20; biosieve™ dx marijuana test panel 50,jessica  chen,jessica  chen,joe  shia,862.3870,nfw,07/03/2023,08/31/2023,substantially equivalent     (sese),toxicology,toxicology,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231978.pdf,traditional,no,no
881,K202845,"gown, surgical",k202845,bodygard sfs surgical gown level 3,ali serdar serteser,ali serdar serteser,darren  reeves,878.4040,fya,09/25/2020,02/24/2022,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202845.pdf,traditional,no,no
882,K223527,"wheelchair, mechanical",k223527,"little wave clik, rogue xp, little wave xp, spark",mark  murphy,mark  murphy,mark  murphy,890.3850,ior,11/23/2022,08/31/2023,substantially equivalent     (sese),physical medicine,physical medicine,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223527.pdf,traditional,no,no
883,K230754,confocal optical imaging,k230754,l12 led light source with aim,april  malmborg,april  malmborg,april  malmborg,876.1500,own,03/17/2023,04/11/2023,substantially equivalent     (sese),gastroenterology/urology,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230754.pdf,special,no,no
884,K182598,thoracolumbosacral pedicle screw system,k182598,versalink™ fixation system,ron  sacher,ron  sacher,janice  hogan,888.3070,nkb,09/20/2018,11/13/2018,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k182598.pdf,traditional,no,no
885,K191075,"stimulator, nerve, transcutaneous, over-the-counter",k191075,healy,martin  wittmann,martin  wittmann,douglas  herrington,882.5890,nuh,04/23/2019,11/22/2019,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k191075.pdf,traditional,no,no
886,K202095,"abutment, implant, dental, endosseous",k202095,creodent solidex customized abutment and screw,calvin  shim,calvin  shim,calvin  shim,872.3630,nha,07/29/2020,12/16/2020,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202095.pdf,traditional,no,no
887,K173875,"prosthesis, knee, patellofemorotibial, semi-constrained, cemented, polymer/metal/polymer",k173875,genflex2 total knee system - ultra-congruent cr tibial insert,dave  stumpo,dave  stumpo,hollace  rhodes,888.3560,jwh,12/21/2017,01/19/2018,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173875.pdf,special,no,no
888,K203735,transcranial magnetic stimulator,k203735,brainsway deep tms system,ahava  stein,ahava  stein,ahava  stein,882.5805,obp,12/21/2020,04/23/2021,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203735.pdf,traditional,no,no
889,K211509,"gown, surgical",k211509,surgical gown,andy  wen,andy  wen,eva  li,878.4040,fya,05/14/2021,10/24/2021,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211509.pdf,traditional,no,no
890,K183646,adjunctive predictive cardiovascular indicator,k183646,"acumen hypotension prediction index – ev1000 clinical platform, acumen hypotension prediction index – hemosphere advanced monitoring platform, acumen hypotension prediction index – hemosphere advanced monitoring platform - pressure",lisa  gilman,lisa  gilman,lisa  gilman,870.2210,qaq,12/26/2018,05/21/2019,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k183646.pdf,traditional,no,no
