,query_id,device,generic_name,applicant,pma_number,date_received,decision_date,product_code,docket_number,notice_date,advisory_committee,expedited_review_granted,combination_product,approval_order,summary,labeling,supplements,recalls
145,P010029,euflexxa (1% sodium hyaluronate),"acid, hyaluronic, intraarticular","ferring pharmaceuticals, inc.100 interpace parkwayparsippany, nj 07054",p010029,05/01/2001,12/03/2004,moz,06m-0338,08/24/2006,orthopedic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010029b.pdf,labelinglabeling part 2,s001 s002 s004 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s032 s033 s034 s035,cdrh recalls
146,P990045,diasorin eti-ab-corek plus assay,,"diasorin, inc.1951 northwestern ave.stillwater, mn 55082-0285",p990045,07/02/1999,03/30/2001,,01m-0456,10/09/2001,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p990045b.pdf,labeling,s002 s003 s004 s005 s006 s008 s009 s010 s011 s012 s014 s015 s016 s017 s018 s019 s020 s021 s022 s024 s025 s026 s027 s028 s029,
147,P150019,paradigm real-time revel system,"sensor, glucose, invasive","medtronic minimed18000 devonshire stnorthridge, ca 91325",p150019,06/10/2015,12/07/2015,mds oyc,15m-4728,12/22/2015,clinical chemistry,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf15/p150019b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s016 s017 s018 s020 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065,
148,P140005,genvisc 850,"acid, hyaluronic, intraarticular","orthogenrx,inc2005 south easton roadsuite 207doylestown, pa 18901",p140005,04/16/2014,09/02/2015,moz,15m-3258,10/15/2015,orthopedic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf14/p140005b.pdf,labelinglabeling part 2,s004 s005,
149,P910077,"ventak(r) prx (tm) model 1700,1705 pulse generator",implantable cardioverter defibrillator (non-crt),"boston scientific4100 hamline avenue northst. paul, mn 55112",p910077,12/23/1991,06/17/1994,lws,94m-0241,08/15/1994,cardiovascular,no,no,,,,s001 s002 s004 s006 s007 s008 s009 s010 s011 s012 s014 s015 s016 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s029 s030 s031 s032 s033 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s066 s067 s068 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s083 s084 s086 s087 s088 s089 s090 s091 s092 s093 s094 s095 s096 s097 s098 s100 s101 s102 s103 s104 s105 s106 s107 s108 s109 s110 s111 s112 s113 s115 s116 s117 s118 s119 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s136 s137 s138 s139 s140 s141 s142 s143 s144 s145 s146 s147 s148 s149 s150 s151 s152 s153 s154 s155 s156 s157 s158 s159 s160 s161 s162 s163 s164 s165 s166 s167 s168 s169 s170 s171 s172 s173 s174 s175 s176 s177 s178 s179 s180 s181 s182 s183 s184 s185 s186 s187 s188 s189 s190 s191 s192,cdrh recalls
150,P190005,"elecsys anti-hbe, precicontrol anti-hbe","test, hepatitis b (b core, be antigen, be antibody, b core igm)","roche diagnostics9115 hague roadindianapolis, in 46250",p190005,03/01/2019,02/03/2021,lom,21m-0178,02/09/2021,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf19/p190005b.pdf,labeling,s001 s002,
151,P980022,continuous glucose monitoring system,"sensor, glucose, invasive","medtronic minimed18000 devonshire stnorthridge, ca 91325",p980022,12/15/1997,06/15/1999,oyc mds,99m-2169,07/14/1999,clinical chemistry,yes,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p980022b.pdf,labeling,s001 s003 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s046 s047 s048 s049 s050 s051 s052 s054 s055 s056 s057 s058 s059 s060 s061 s062 s064 s065 s067 s068 s069 s070 s071 s072 s073 s075 s076 s077 s078 s079 s080 s081 s082 s083 s085 s086 s087 s088 s089 s090 s091 s092 s093 s095 s097 s098 s099 s100 s101 s102 s103 s104 s105 s106 s107 s108 s109 s110 s111 s112 s113 s114 s115 s116 s117 s119 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s136 s137 s138 s140 s142 s143 s145 s146 s147 s148 s149 s150 s151 s153 s154 s155 s156 s157 s158 s159 s160 s161 s162 s163 s164 s165 s166 s167 s168 s169 s170 s171 s172 s173 s174 s175 s176 s177 s178 s179 s180 s181 s182 s183 s184 s186 s187 s188 s189 s190 s191 s193 s195 s197 s199 s200 s201 s202 s203 s204 s205 s206 s207 s208,cdrh recalls
152,P140021,"elecsys anti-hcv ii immunoassay, elecsys precicontrol anti-hcv","assay, enzyme linked immunosorbent, hepatitis c virus","roche diagnostics operations inc9115 hague roadp.o. box 50416indianapolis, in 46250-0416",p140021,10/01/2014,06/11/2015,mzo,15m-2217,07/10/2015,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf14/p140021b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016,
153,P220024,"liquifix fix8 hernia mesh fixation (hmf) device, liquifix precision open hernia mesh fixation device",tissue adhesive internal use,"advanced medical solutions limitedwestern wood way, langage science parkplympton, plymouth pl7 5",p220024,10/27/2022,06/02/2023,plj,23m-2807,07/28/2023,general & plastic surgery,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf22/p220024b.pdf,labeling,s001,
154,P180051,organ care system (ocs) heart system,organ care system (ocs) heart system,"transmedics, inc.200 minuteman road, suite 302andover, ma 01810",p180051,12/26/2018,09/03/2021,qik,21m-0989,09/10/2021,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf18/p180051b.pdf,labelinglabeling part 2,s001 s002 s003 s004,
155,P020050,wavelight allegretto wave excimer laser system,excimer laser system,"alcon laboratories, inc.6201 south freewayfort worth, tx 76134-2099",p020050,11/20/2002,10/07/2003,lzs,03m-0491,10/28/2003,ophthalmic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf2/p020050b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041,
156,P980033,wallstent endoprosthesis,"stent, central venous","boston scientific corporationone scimed placemaple grove, mn 55311-1566",p980033,08/03/1998,11/16/2001,qkj,02m-0203,05/09/2002,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p980033b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s043 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063,
157,P840001,itrel(r) totally implantable spinal cord stim. sys,"stimulator, spinal-cord, totally implanted for pain relief","medtronic neuromodulation7000 central avenue neminneapolis, mn 55432",p840001,01/13/1984,11/30/1984,lgw,84m-0415,01/02/1985,neurology,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s028 s029 s030 s031 s032 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s049 s050 s051 s052 s053 s054 s055 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s080 s081 s082 s083 s084 s086 s088 s089 s090 s091 s092 s093 s095 s096 s097 s098 s099 s100 s101 s102 s103 s104 s105 s106 s107 s108 s109 s110 s111 s112 s113 s114 s115 s117 s118 s119 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s136 s137 s138 s139 s140 s141 s142 s143 s144 s145 s146 s147 s148 s149 s150 s151 s152 s153 s154 s155 s156 s157 s158 s159 s160 s161 s162 s163 s164 s165 s167 s168 s169 s170 s171 s172 s173 s174 s175 s176 s178 s179 s180 s181 s182 s183 s184 s185 s186 s187 s188 s189 s190 s191 s192 s193 s194 s195 s196 s197 s198 s199 s200 s201 s202 s203 s205 s206 s207 s208 s209 s210 s211 s212 s213 s214 s215 s216 s217 s218 s219 s220 s221 s222 s223 s224 s225 s226 s227 s228 s229 s230 s231 s232 s233 s234 s235 s236 s237 s238 s239 s240 s241 s242 s243 s244 s245 s246 s247 s248 s249 s250 s251 s252 s253 s254 s255 s256 s257 s258 s259 s260 s261 s262 s263 s264 s265 s266 s267 s268 s269 s270 s271 s272 s273 s274 s275 s276 s277 s278 s279 s280 s281 s282 s283 s284 s285 s286 s287 s288 s289 s290 s291 s292 s293 s294 s295 s296 s297 s298 s299 s300 s301 s302 s303 s304 s305 s306 s307 s308 s309 s310 s311 s312 s313 s314 s315 s316 s317 s318 s319 s320 s321 s322 s323 s324 s325 s326 s327 s328 s329 s330 s331 s332 s333 s334 s335 s336 s337 s338 s339 s340 s341 s342 s343 s344 s345 s346 s347 s348 s349 s350 s351 s352 s353 s354 s355 s356 s357 s358 s359 s360 s361 s362 s363 s364 s365 s366 s367 s368 s369 s370 s371 s372 s373 s374 s375 s376 s377 s378 s379 s380 s381 s382 s383 s384 s385 s386 s387 s388 s389 s390 s391 s392 s393 s394 s395 s396 s397 s398 s399 s400 s401 s402 s403 s404 s405 s406 s407 s408 s409 s410 s411 s412 s413 s414 s415 s416 s417 s418 s419 s420 s421 s422 s423 s424 s425 s426 s427 s428 s429 s430 s431 s432 s433 s434 s435 s436 s437 s438 s439 s441 s442 s443 s444 s445 s446 s447 s448 s449 s450 s451 s452 s453 s454 s455 s456 s457 s458 s459 s460 s461 s462 s463 s465 s466 s467 s468 s469 s470 s471 s472 s473 s474 s475 s476 s477 s478 s479 s480 s481 s482 s483 s484 s485 s486 s487 s488 s489 s490 s491 s492 s493 s495 s496 s497 s498 s499 s500 s501 s503 s504 s505 s506 s507 s508 s509 s510 s511 s513 s514 s515 s516 s517 s518 s519 s520 s521 s522 s523 s524 s525 s526 s528 s529 s530 s531 s532 s533 s534 s535 s536 s537 s538 s539 s540 s541 s542 s543 s544 s545 s546 s547 s548 s551 s552 s553 s554,cdrh recalls
158,P030024,vitros immunodiagnostic products anti-hbc reagent pack/calibrator,"test, hepatitis b (b core, be antigen, be antibody, b core igm)","ortho-clinical diagnostics100 indigo creek dr.rochester, ny 14626-5101",p030024,06/19/2003,03/04/2004,lom,04m-0341,08/04/2004,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf3/p030024b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029,
159,P190027,"tack endovascular system (4f, 1.5-4.5mm)","scaffold, dissection repair","philips image guided therapy corporation (formerly intact)5905 nathan lane northplymouth, mn 55442",p190027,10/01/2019,04/10/2020,qct,20m-1286,04/14/2020,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf19/p190027b.pdf,labeling,s001 s002 s003 s004 s005,
160,P160024,lifestream balloon expandable vascular covered stent,"iliac covered stent, arterial","bard peripheral vascular, inc.1625 west 3rd st.tempe, az 85281-1740",p160024,07/21/2016,04/24/2017,prl,17m-2594,04/25/2017,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160024b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012,cdrh recalls
161,P110041,advia centaur hbsagii,"test, hepatitis b (b core, be antigen, be antibody, b core igm)","siemens corp.511 benedict avenuetarrytown, ny 10591",p110041,12/19/2011,05/16/2014,lom,14m-0692,06/10/2014,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf11/p110041b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013,
162,P210019,advia centaur anti-hbc total (hbct2) and atellica im anti-hbc total (hbct2),"test, hepatitis b (b core, be antigen, be antibody, b core igm)","siemens healthcare diagnostics, inc.511 benedict avenuetarrytown, ny 10591",p210019,05/11/2021,07/27/2022,lom,22m-1740,07/29/2022,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf21/p210019b.pdf,labeling,s001 s002,
163,P830061,steroid tip(tm) model 4503&4003 transvenous pacing,drug eluting permanent right ventricular (rv) or right atrial (ra) pacemaker electrodes,"medtronic cardiac rhythm disease management8200 coral sea street n.e.mounds view, mn 55112",p830061,10/03/1983,07/29/1986,nvn,86m-0330,08/22/1986,cardiovascular,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s017 s019 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s039 s040 s041 s042 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s083 s084 s085 s086 s087 s088 s089 s091 s092 s093 s094 s096 s097 s098 s099 s100 s101 s102 s104 s105 s106 s107 s108 s109 s110 s111 s112 s113 s114 s115 s116 s117 s118 s119 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s136 s137 s138 s139 s140 s141 s142 s143 s144 s145 s146 s147 s148 s149 s150 s151 s152 s153 s154 s155 s156 s157 s158 s159 s160 s161 s162 s163 s164 s165 s166 s167 s168 s169 s170 s171 s172 s173 s174 s175 s176 s177 s178 s179 s180 s181 s182 s183 s184 s185 s186 s187 s188 s189 s190 s191 s192 s193 s194 s195 s196 s197 s198 s199 s200 s201 s202 s203 s204 s205 s206 s207 s208 s209 s210 s211 s212 s213 s214 s215 s216 s217 s218,
164,P950008,silikon 1000,"fluid, intraocular","alcon6201 south freewaymail drop r7-14fort worth, tx 76134-2099",p950008,02/22/1995,09/25/1997,lwl,97m-0521,09/30/1997,ophthalmic,yes,no,,,,s001 s002 s003 s004 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s021 s022,
165,P830063,gambro fiber plasmafilter,"separator for therapeutic purposes, membrane automated blood cell/plasma","baxter international, inc.1 baxter pkwy.deerfield, il 60015-4633",p830063,10/04/1983,05/27/1986,mdp,86m-0250,07/07/1986,gastroenterology/urology,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s012 s013 s014 s015 s016 s017 s018 s019 s020 s022 s023 s024 s025 s026,
166,P980024,pathvysion her-2 dna probe kit,"system, test, her-2/neu, nucleic acid or serum","abbott molecular, inc.1300 east touhy avenuedes plaines, il 60018",p980024,06/16/1998,12/11/1998,mvd,99m-0034,01/20/1999,pathology,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022,
167,P160044,abbott realtime cmv,cytomegalovirus (cmv) dna quantitative assay,"abbott molecular1300 east touhy avenuedes plaines, il 60018",p160044,10/04/2016,05/18/2017,pab,17m-3200,06/01/2017,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160044b.pdf,labeling,s001 s002 s003 s004 s005,
168,P180027,flow re-direction endoluminal device (fred®) system,intracranial aneurysm flow diverter,"microvention, inc.35 enterpricsealiso viejo, ca 92656",p180027,08/01/2018,12/16/2019,out,19m-5961,12/18/2019,neurology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf18/p180027b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008,
169,P200006,foundationone liquid cdx (f1 liquid cdx),"next generation sequencing oncology panel, somatic or germline variant detection system","foundation medicine, inc.150 second streetcambridge, ma 02141",p200006,02/03/2020,10/26/2020,pqp,20m-2141,10/30/2020,pathology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf20/p200006b.pdf,labeling,s001 s002 s003 s004,
170,P110028,absolute pro vascular self-expanding stent system,"stent, iliac","abbott vascular inc.3200 lakeside drivesanta clara, ca 92054",p110028,07/25/2011,02/22/2012,nio,12m-0181,02/27/2012,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf11/p110028b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023,
171,P190032,foundationone liquid cdx (f1 liquid cdx),"next generation sequencing oncology panel, somatic or germline variant detection system","foundation medicine inc.150 second streetcambridge, ma 02141",p190032,12/26/2019,08/26/2020,pqp,20m-1821,09/01/2020,pathology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf19/p190032b.pdf,labeling,s001 s003 s004 s005 s006 s007 s008 s009 s010 s011 s013,
172,P100049,linx reflux management system,"implant, anti-gastroesophageal reflux","torax medical4545 creek rdcincinnati, oh 45242",p100049,12/30/2010,03/22/2012,lei,12m-0893,08/14/2012,gastroenterology/urology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf10/p100049b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034,cdrh recalls
173,P020016,walter lorenz total temporomandibular joint replacement system,"joint, temporomandibular, implant","biomet microfixation, inc.1520 tradeport dr.jacksonville, fl 32218",p020016,05/13/2002,09/21/2005,lzd,05m-0399,10/05/2005,dental,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf2/p020016b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s011,cdrh recalls
174,P160002,ventana pd-l1(sp142) cdx assay,"immunohistochemistry assay, antibody, programmed death-ligand 1","ventana medical systems, inc.1910 east innovation park dr.tucson, az 85755",p160002,01/13/2016,05/18/2016,pls,16m-1400,06/03/2016,pathology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160002b.pdf,labeling,s001 s002 s003 s006 s007 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021,
175,P210001,ventana mmr rxdx panel,"immunohistochemistry test, dna mismatch repair (mmr) protein assay","ventana medical systems inc (roche tissue diagnostics)1910 e. innovation park drivetucson, az 85755",p210001,01/22/2021,08/17/2021,qnh,21m-0915,08/25/2021,pathology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf21/p210001b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009,
176,P030040,"advia centaur hbc igm readypack reagents, advia centaur  hbc igm quality control materials","test, hepatitis b (b core, be antigen, be antibody, b core igm)","siemens healthcare diagnostics333 coney streetwalpole, ma 02032-1516",p030040,09/11/2003,08/06/2004,lom,05m-0158,05/02/2005,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf3/p030040b.pdf,labeling,s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022,cdrh recalls
177,P130005,diamondback 360 coronary orbital atherectomy system,"catheter, coronary, atherectomy","cardiovascular systems, inc.651 campus drminneapolis, mn 55211",p130005,03/15/2013,10/21/2013,mcx,13m-1363,10/30/2013,cardiovascular,no,yes,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130005b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s024 s025 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039,cdrh recalls
178,P990074,natrelle saline breast implants,"prosthesis, breast, inflatable, internal, saline","allergan2525 dupont dr.irvine, ca 92612",p990074,11/16/1999,05/10/2000,fwm,01m-0012,01/18/2001,general & plastic surgery,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p990074b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050,cdrh recalls
179,P010054,elecsys anti-hbs,"test, hepatitis b (b core, be antigen, be antibody, b core igm)","roche diagnostics corp.9115 hague rd.indianapolis, in 46250",p010054,09/10/2001,02/28/2002,lom,02m-0179,04/25/2002,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010054b.pdf,labeling,s001 s002 s003 s004 s005 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s034 s035 s036 s037 s038 s039 s040 s041 s042,
180,P110031,elecsys anti-hbc igm immunoassay and elecsys precicontrol anti-hbc igm,"test, hepatitis b (b core, be antigen, be antibody, b core igm)","roche diagnostics corp.9115 hague roadp.o. box 50416indianapolis, in 46250-0457",p110031,07/29/2011,01/03/2012,lom,12m-0024,01/10/2012,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf11/p110031b.pdf,labeling,s001 s002 s003 s004 s005 s006 s008 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s022 s023 s024,
181,P010001,ceramic transcend hip articulation system,"prosthesis, hip, semi-constrained, metal/ceramic/ceramic/metal, cemented or uncemented",ceramtec gmbhceramtec-platz 1-973207plochingen 73207,p010001,01/31/2001,02/03/2003,mra,03m-0332,07/30/2003,orthopedic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010001b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026,
182,P830060,ventak and automatic implantable cardioverter defibrillator (aicd) systems,implantable cardioverter defibrillator (non-crt),"boston scientific4100 hamline avenue northst. paul, mn 55112",p830060,09/26/1983,10/04/1985,lws,85m-0504,11/15/1985,cardiovascular,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s010 s011 s012 s013 s014 s015 s016 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s062 s064 s065 s067 s068 s069 s070 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s083 s084 s085 s086 s087 s088 s089,
183,P980049,defender ii model 9201 implantable cardioverter defibrillator,"defibrillator, implantable, dual-chamber","microport crm usa inc.5640 airline roadarlington, tn 38002",p980049,12/18/1998,09/15/1999,mrm,00m-0915,,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p980049b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s083 s085 s086 s087 s088 s089 s090 s091 s092 s093 s094 s095 s096 s097 s098 s099 s100 s101 s102 s103 s104 s105 s106 s107 s108 s109 s110 s111 s112 s113 s114 s115 s116 s117 s118 s119 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s136 s137 s138 s139 s140 s141 s142 s143 s144 s145,cdrh recalls
184,P190034,"elecsys anti-hbs ii, precicontrol anti-hbs, anti-hbs calcheck","test, hepatitis b (b core, be antigen, be antibody, b core igm)","roche diagnostics9115 hague roadpo box 50416indianapolis, in 46250",p190034,12/30/2019,02/23/2021,lom,21m-0228,02/25/2021,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf19/p190034b.pdf,labeling,s001 s002,
185,P030039,coseal surgical sealant,"sealant, polymerizing","baxter bio science32650 n wilson rdmail stop wg2-3sround lake, il 60073",p030039,07/16/2003,12/12/2003,nbe,03m-0560,12/31/2003,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf3/p030039b.pdf,labeling,s001 s002 s003 s004 s005 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028,cdrh recalls
186,P130001,epi procolon,"system, colorectal neoplasia, dna methylation and hemoglobin detection",epigenomics aggeneststr.5berlin,p130001,01/03/2013,04/12/2016,php,16m-1168,05/20/2016,pathology,yes,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130001b.pdf,labeling,s001 s002 s004 s005 s007,cdrh recalls
187,P160047,"aegea vapor system, aegea vapor probe procedure kit, aegea vapor generator and aegea vapor generator accessory kit","device, thermal ablation, endometrial","coopersurgical, inc.95 corporate drivetrumbull, ct 06611",p160047,10/25/2016,06/14/2017,mnb,17m-3778,06/20/2017,obstetrics/gynecology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160047b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s010 s011 s012 s013 s014 s015 s016 s017 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033,
188,P090022,lenstec softec hd posterior chamber intraocular lens,intraocular lens,"lenstec, inc.1765 commerce ave nst. petersburg, fl 33716",p090022,09/01/2009,04/12/2010,hql,10m-0220,04/23/2010,ophthalmic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf9/p090022b.pdf,labeling,s001 s002 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s034 s035 s036 s037 s038 s039,
189,P080030,glaukos istent trabecular bypass stent model gts100r/l,intraocular pressure lowering implant,"glaukos, corporation26051 merit circle, suite 103laguna hills, ca 92653",p080030,12/19/2008,06/25/2012,ogo,12m-0712,07/16/2012,ophthalmic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf8/p080030b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s016 s017 s018 s019 s020 s021 s022 s023 s024,
